year,month,period,customer,package,volume
2023,1,2023-01,ULTRACHEM,BOX OIL,2700.0
2023,1,2023-01,ULTRACHEM,BULK OIL,12145.0
2023,1,2023-01,ULTRACHEM,DRUM OIL,8085.0
2023,1,2023-01,ULTRACHEM,GAL OIL,5760.0
2023,1,2023-01,ULTRACHEM,JUG OIL,3150.0
2023,1,2023-01,ULTRACHEM,LITER OIL,3465.0
2023,1,2023-01,ULTRACHEM,PAIL OIL,2200.0
2023,1,2023-01,ULTRACHEM,TOTE OIL,1060.0
2023,2,2023-02,ULTRACHEM,BOX OIL,1350.0
2023,2,2023-02,ULTRACHEM,BULK OIL,14686.0
2023,2,2023-02,ULTRACHEM,DRUM OIL,10120.0
2023,2,2023-02,ULTRACHEM,GAL OIL,1680.0
2023,2,2023-02,ULTRACHEM,JUG OIL,7796.25
2023,2,2023-02,ULTRACHEM,LITER OIL,13030.0
2023,2,2023-02,ULTRACHEM,PAIL OIL,13020.0
2023,2,2023-02,ULTRACHEM,TOTE OIL,7155.0
2023,3,2023-03,ULTRACHEM,BOX OIL,6048.0
2023,3,2023-03,ULTRACHEM,BULK COOL,1540.0
2023,3,2023-03,ULTRACHEM,BULK OIL,15217.0
2023,3,2023-03,ULTRACHEM,DRUM COOL,6380.0
2023,3,2023-03,ULTRACHEM,DRUM OIL,16280.0
2023,3,2023-03,ULTRACHEM,GAL OIL,480.0
2023,3,2023-03,ULTRACHEM,JUG OIL,450.0
2023,3,2023-03,ULTRACHEM,LITER OIL,14332.5
2023,3,2023-03,ULTRACHEM,PAIL OIL,17560.0
2023,3,2023-03,ULTRACHEM,TOTE OIL,2915.0
2023,4,2023-04,ULTRACHEM,BOX OIL,14400.0
2023,4,2023-04,ULTRACHEM,BULK COOL,2000.0
2023,4,2023-04,ULTRACHEM,BULK OIL,25459.0
2023,4,2023-04,ULTRACHEM,DRUM COOL,4180.0
2023,4,2023-04,ULTRACHEM,DRUM OIL,35750.0
2023,4,2023-04,ULTRACHEM,GAL OIL,5040.0
2023,4,2023-04,ULTRACHEM,JUG OIL,6603.75
2023,4,2023-04,ULTRACHEM,LITER OIL,20469.0
2023,4,2023-04,ULTRACHEM,PAIL OIL,33935.0
2023,5,2023-05,ULTRACHEM,BOX COOL,21024.0
2023,5,2023-05,ULTRACHEM,BOX OIL,23934.0
2023,5,2023-05,ULTRACHEM,BULK COOL,1500.0
2023,5,2023-05,ULTRACHEM,BULK OIL,9786.0
2023,5,2023-05,ULTRACHEM,DRUM COOL,55.0
2023,5,2023-05,ULTRACHEM,DRUM OIL,17160.0
2023,5,2023-05,ULTRACHEM,GAL COOL,13272.0
2023,5,2023-05,ULTRACHEM,GAL OIL,1920.0
2023,5,2023-05,ULTRACHEM,JUG OIL,6750.0
2023,5,2023-05,ULTRACHEM,LITER OIL,16985.25
2023,5,2023-05,ULTRACHEM,PAIL COOL,280.0
2023,5,2023-05,ULTRACHEM,PAIL OIL,30680.0
2023,5,2023-05,ULTRACHEM,TOTE OIL,6625.0
2023,6,2023-06,ULTRACHEM,BOX COOL,540.0
2023,6,2023-06,ULTRACHEM,BOX OIL,5013.0
2023,6,2023-06,ULTRACHEM,BULK COOL,1000.0
2023,6,2023-06,ULTRACHEM,BULK OIL,16397.0
2023,6,2023-06,ULTRACHEM,DRUM COOL,4125.0
2023,6,2023-06,ULTRACHEM,DRUM OIL,10890.0
2023,6,2023-06,ULTRACHEM,GAL COOL,2452.0
2023,6,2023-06,ULTRACHEM,GAL OIL,8400.0
2023,6,2023-06,ULTRACHEM,JUG OIL,2700.0
2023,6,2023-06,ULTRACHEM,LITER OIL,10085.5
2023,6,2023-06,ULTRACHEM,PAIL OIL,16445.0
2023,7,2023-07,LUBRIMAR,GAL COOL,5184.0
2023,7,2023-07,ULTRACHEM,BOX COOL,9252.0
2023,7,2023-07,ULTRACHEM,BOX OIL,8112.0
2023,7,2023-07,ULTRACHEM,BULK COOL,1250.0
2023,7,2023-07,ULTRACHEM,BULK OIL,29681.0
2023,7,2023-07,ULTRACHEM,DRUM COOL,3245.0
2023,7,2023-07,ULTRACHEM,DRUM OIL,17875.0
2023,7,2023-07,ULTRACHEM,GAL COOL,3936.0
2023,7,2023-07,ULTRACHEM,GAL OIL,1456.0
2023,7,2023-07,ULTRACHEM,JUG OIL,618.75
2023,7,2023-07,ULTRACHEM,LITER OIL,16266.0
2023,7,2023-07,ULTRACHEM,PAIL COOL,560.0
2023,7,2023-07,ULTRACHEM,PAIL OIL,18785.0
2023,7,2023-07,ULTRACHEM,TOTE OIL,265.0
2023,8,2023-08,LUBRIMAR,BULK COOL,4560.0
2023,8,2023-08,LUBRIMAR,DRUM COOL,5445.0
2023,8,2023-08,LUBRIMAR,GAL COOL,6264.0
2023,8,2023-08,LUBRIMAR,TOTE COOL,5000.0
