production_date,line_key,gallons,pallets
2025-03-03,DRUMS,1320.000,6.000000
2025-03-03,GAL COOL,2310.000,10.600000
2025-03-03,QUARTS,1023.000,4.000000
2025-03-03,TOTES,270.000,3.000000
2025-03-04,5QT,450.000,2.000000
2025-03-04,DEF 1*2.5,460.000,2.000000
2025-03-04,DEF 2*2.5,220.000,1.000000
2025-03-04,DRUMS,220.000,1.000000
2025-03-04,GAL COOL,444.000,2.000000
2025-03-04,GAL OIL,720.000,3.000000
2025-03-04,PAIL,1690.000,6.000000
2025-03-04,QUARTS,825.000,3.200000
2025-03-05,5QT,113.000,0.500000
2025-03-05,DRUMS,1430.000,6.500000
2025-03-05,GAL COOL,1296.000,6.000000
2025-03-05,GAL OIL,480.000,2.000000
2025-03-05,PAIL,1075.000,3.800000
2025-03-05,QUARTS,918.000,3.600000
2025-03-05,TOTES,925.000,3.000000
2025-03-06,5QT,675.000,3.000000
2025-03-06,DEF 1*2.5,690.000,3.000000
2025-03-06,DRUMS,1595.000,7.250000
2025-03-06,GAL COOL,864.000,4.000000
2025-03-06,PAIL,315.000,1.125000
2025-03-06,QUARTS,1080.000,4.285714
2025-03-07,DEF 2*2.5,550.000,2.500000
2025-03-07,DRUMS,2200.000,10.000000
2025-03-07,GAL COOL,372.000,1.722222
2025-03-07,GAL OIL,676.000,2.816667
2025-03-07,QUARTS,966.000,3.833333
2025-03-07,TOTES,780.000,3.035019
2025-03-10,5QT,900.000,4.000000
2025-03-10,DRUMS,2255.000,10.250000
2025-03-10,GAL OIL,320.000,1.333333
2025-03-10,QUARTS,630.000,2.500000
2025-03-10,TOTES,3030.000,11.789883
2025-03-11,DRUMS,1870.000,8.500000
2025-03-11,GAL COOL,1944.000,9.000000
2025-03-11,PAIL,1025.000,3.660714
2025-03-11,TOTES,4545.000,17.684825
2025-03-12,5QT,738.750,3.283333
2025-03-12,DEF 1*2.5,690.000,3.000000
2025-03-12,DRUMS,2310.000,10.500000
2025-03-12,GAL COOL,864.000,4.000000
2025-03-12,GAL OIL,416.000,1.733333
2025-03-12,PAIL,590.000,2.107143
2025-03-13,5QT,442.500,1.966667
2025-03-13,DEF 1*2.5,690.000,3.000000
2025-03-13,DRUMS,330.000,1.500000
2025-03-13,GAL OIL,440.000,1.833333
2025-03-13,PAIL,2210.000,7.892857
2025-03-13,QUARTS,511.500,2.029762
2025-03-14,5QT,840.000,3.733333
2025-03-14,DEF 1*2.5,690.000,3.000000
2025-03-14,DRUMS,880.000,4.000000
2025-03-14,GAL COOL,180.000,0.833333
2025-03-14,PAIL,1790.000,6.392857
2025-03-14,QUARTS,400.500,1.589286
2025-03-14,TOTES,250.000,0.972763
2025-03-17,5QT,225.000,1.000000
2025-03-17,DEF 1*2.5,690.000,3.000000
2025-03-17,DRUMS,1540.000,7.000000
2025-03-17,GAL COOL,504.000,2.333333
2025-03-17,PAIL,935.000,3.339286
2025-03-17,QUARTS,561.000,2.226190
2025-03-17,TOTES,250.000,0.972763
2025-03-18,5QT,712.500,3.166667
2025-03-18,DEF 1*2.5,690.000,3.000000
2025-03-18,DRUMS,220.000,1.000000
2025-03-18,GAL COOL,1134.000,5.250000
2025-03-18,PAIL,700.000,2.500000
2025-03-18,QUARTS,1038.000,4.119048
2025-03-18,TOTES,1250.000,4.863813
2025-03-19,5QT,675.000,3.000000
2025-03-19,DRUMS,1540.000,7.000000
2025-03-19,GAL COOL,984.000,4.555556
2025-03-19,PAIL,920.000,3.285714
2025-03-19,QUARTS,990.000,3.928571
2025-03-19,TOTES,250.000,0.972763
2025-03-20,DEF 1*2.5,690.000,3.000000
